0,1,2,3,4,5,6,7,8,9,10,11
"{'Name': 'Automobiles & Servicing Cente', 'Email': 'N/A', 'Phone': '01712920915', 'Address': 'house 67, Road No. 13, Dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'N/A'}","{'Name': 'Auto king', 'Email': 'N/A', 'Phone': '01783807917', 'Address': 'House-22 Road-35, উত্তরা 1230, Uttara Purba, Dhaka, 1230', 'Website': 'N/A'}","{'Name': 'Car Repair BD', 'Email': 'N/A', 'Phone': '01725418659', 'Address': 'Plot 16, 1230 Road No 34, Dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://carrepairbd.com/'}","{'Name': 'NOOR AUTOS', 'Email': 'N/A', 'Phone': '01727349447', 'Address': 'QCFH+2WW, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Anan Auto Solution', 'Email': 'N/A', 'Phone': '01871668065', 'Address': 'South point shed, 17 Road Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Swadesh Auto Ltd.', 'Email': 'N/A', 'Phone': '01612408992', 'Address': 'RC2F+CQW, Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Multi Auto Care Workshop', 'Email': 'N/A', 'Phone': '01757683035', 'Address': '18,Shed- 01, RC3G+P5H, Road, Plot- 02 Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'ADC Automobiles', 'Email': 'N/A', 'Phone': '01716346067', 'Address': 'Kha-198, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://www.adcautomobiles.com/#'}","{'Name': 'BASCO AUTO SOLUTION', 'Email': 'N/A', 'Phone': '01733077657', 'Address': '343 Cocacola Road, Naya Nagar Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Motor Diagnosis and Treatment LTD -MDTL', 'Email': 'N/A', 'Phone': '01613356602', 'Address': 'Ka67-68, progoti Sharani, Norda, 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://mdtlbd.com/'}","{'Name': 'RPM AUTO WORKS', 'Email': 'N/A', 'Phone': '01810448877', 'Address': 'Shed-06, Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'http://rpmautoworks.com'}","{'Name': 'Auto space', 'Email': 'N/A', 'Phone': '01916313949', 'Address': '333, 1 Cocacola Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}"
"{'Name': 'Hyundai Motors Bangladesh Limited', 'Email': 'N/A', 'Phone': '01841010111', 'Address': 'Tejgaon I/A Dhaka, 1208, Dhaka Politechnic, Dhaka, 1208', 'Website': 'https://www.facebook.com/Hyundaiworldwide'}","{'Name': 'City Car Imports', 'Email': 'N/A', 'Phone': '01896092905', 'Address': 'Mirpur, West Shewrapara, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'Zam Zam Car & Automobiles', 'Email': 'N/A', 'Phone': '01711775067', 'Address': 'Corporate Branch : 28/1, Kakrail, Dhaka. & #Baridhara Branch: 314 Nodda, Baridhara, Dhaka, Dhaka, Bangladesh, 1217, Shantinagr TSO, Dhaka, 1217', 'Website': 'https://www.zamzamgroupbd.net/'}","{'Name': 'Ovi Trading', 'Email': 'N/A', 'Phone': '01799993280', 'Address': 'Plot#1, Road#49, Gulshan 2, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Automo JAPAN', 'Email': 'N/A', 'Phone': '01836151239', 'Address': '5/13, Lalmatia, Block#D, Dhaka, Bangladesh, 1207, Mohammadpur, Dhaka, 1207', 'Website': 'N/A'}","{'Name': 'Jeep Bangladesh', 'Email': 'N/A', 'Phone': '01841805337', 'Address': '1, West Abdullahpur, Dhaka, Bangladesh, 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.jeep.com.bd/'}","{'Name': 'Dynasty Cars', 'Email': 'N/A', 'Phone': '01785545532', 'Address': '343/344, Tejgaon I/A, Tejgaon, (Impluse Hospital Road, Opposite Impluse Hospital), Dhaka, Bangladesh, 1208, Dhaka Politechnic, Dhaka, 1208', 'Website': 'N/A'}","{'Name': 'Alif Motors', 'Email': 'N/A', 'Phone': '01317774455', 'Address': '150C Tejgaon C/A Dhaka-1208, Tejgaon, Bangladesh, Dhaka Politechnic, Dhaka, 1208', 'Website': 'N/A'}","{'Name': 'JB Auto', 'Email': 'N/A', 'Phone': '01722911208', 'Address': '45 Kazi Nazrul Islam Avenue, Dhaka, Bangladesh, Tejgaon TSO, Dhaka, 1215', 'Website': 'https://jbautobd.com/'}","{'Name': 'Buraq Cars', 'Email': 'N/A', 'Phone': '01883888875', 'Address': 'Ka-96, Kuril Biswa Road, Paragati Saroni., Dhaka, Bangladesh, KhilkhetTSO, Dhaka, 1229', 'Website': 'https://www.buraqcars.com/'}","{'Name': 'Auto BD Imports', 'Email': 'N/A', 'Phone': '01909166312', 'Address': 'H-57/A, Rd -4 Mohanagar Housing Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Crossroad Motors', 'Email': 'N/A', 'Phone': '01711895017', 'Address': 'House # 05, Road-17, Block-C, Banani 1213  Dhaka, Bangladesh, Banani TSO, Dhaka, 1213', 'Website': 'https://crossroadmotors.com.bd/'}"
"{'Name': 'Cafe Chapter 14', 'Email': 'N/A', 'Phone': '01711945873', 'Address': '19 a/ b 2nd colony, mazar road, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'Cafe Rain Street', 'Email': 'N/A', 'Phone': '01778088084', 'Address': 'House-32(Ground floor), Road-05, Block- G, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'The Stories Cafe', 'Email': 'N/A', 'Phone': '01329702344', 'Address': '1st Floor, House 109, Street 01, Block A Mirpur 02, Dhaka 1216, Mirpur, Dhaka, 1216', 'Website': 'https://thestoriescafe.com/'}","{'Name': 'Dream Cafe', 'Email': 'N/A', 'Phone': '01319240502', 'Address': '1/A/B 2nd Colony, Mazar Road, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'Posh Lounge Rooftop', 'Email': 'N/A', 'Phone': '01712808770', 'Address': 'Safura Tower (Beside Pallabi Metro Station) House 45, Level-9, Road-7, Mirpur-12, Dhaka 1216, Mirpur, Dhaka, 1216', 'Website': 'https://poshloungerooftop.com/#home'}","{'Name': 'Hongbao', 'Email': 'N/A', 'Phone': '01870111222', 'Address': '1st floor, Suvastu Imam Square, 65 Gulshan Avenue, Road 28., , Gulshan Model Town, Dhaka, 1212', 'Website': 'https://hongbaobd.com/'}","{'Name': 'OBOR Restaurant - 丝路驿站中餐厅', 'Email': 'N/A', 'Phone': '01700703756', 'Address': 'Level 6, Anannya Shopping Complex, Dhaka CantonmentTSO, Dhaka, 1206', 'Website': 'N/A'}","{'Name': 'Chillox', 'Email': 'N/A', 'Phone': '01704194484', 'Address': 'Level 2, AMM Center, Road 3A, Dhanmondi 1209 (Near Jigatola Bus Stand, Beside Japan Friendship Hospital), Dhanmondi, Dhaka, 1209', 'Website': 'https://chillox.engaze.ai/'}","{'Name': 'LE MERIDIEN DHAKA', 'Email': 'N/A', 'Phone': '09638900089', 'Address': 'https://www.marriott.com/en-us/hotels/dacmd-le-meridien-dhaka/dining/', 'Website': 'https://www.marriott.com/en-us/hotels/dacmd-le-meridien-dhaka/dining/'}","{'Name': 'Alfresco', 'Email': 'N/A', 'Phone': '01335100521', 'Address': '11 level 9 84, Skylark Building, plot no Road No. 11,, Banani TSO, Dhaka, 1213', 'Website': 'N/A'}","{'Name': 'Secret Recipe Elephant road Flagship', 'Email': 'N/A', 'Phone': '09613505085', 'Address': 'Plaza Central by Ananta 136, Old Elephant Road, S Kamruzzaman Sharani Rd, , New Market TSO, Dhaka, 1205', 'Website': 'https://secretrecipebd.com/'}","{'Name': 'The Red Chamber', 'Email': 'N/A', 'Phone': '01316048262', 'Address': 'Level 13, Hamid Tower, Gulshan Circle 2, , Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}"
"{'Name': 'Star Printing & Packaging', 'Email': 'N/A', 'Phone': '01711223345', 'Address': 'khilkhat dhaka 1229, KhilkhetTSO, Dhaka, 1229', 'Website': '""https://www.facebook.com/starprintingbd""'}","{'Name': 'Unique Printing BD', 'Email': 'N/A', 'Phone': '01912334456', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': '""https://www.facebook.com/uniqueprintingbd""'}","{'Name': 'Modern Printing Press', 'Email': 'N/A', 'Phone': '01719223345', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://modernprintingpress.godaddysites.com/'}","{'Name': 'Galaxy Printing & Packaging', 'Email': 'N/A', 'Phone': '01861623214', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.facebook.com/galaxyprintingbd""'}","{'Name': 'Rainbow Printing Press', 'Email': 'N/A', 'Phone': '01715998878', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': '""https://www.facebook.com/rainbowprintingbd""'}","{'Name': 'Print Express BD', 'Email': 'N/A', 'Phone': '01933445567', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': '""https://www.facebook.com/printexpressbd""'}","{'Name': 'Seba Printing & Packaging', 'Email': 'N/A', 'Phone': '01811223344', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.facebook.com/PrintingSeba/#'}","{'Name': 'Projonmo Printing Press', 'Email': 'N/A', 'Phone': '01712334455', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': '""https://www.facebook.com/projonmoprinting""'}","{'Name': 'Royal Printing Press', 'Email': 'N/A', 'Phone': '01719223344', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://royalprintingpress.com/?utm_source=copilot.com'}","{'Name': 'Print World Bangladesh', 'Email': 'N/A', 'Phone': '01933445566', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://printworldbd.com/?utm_source=copilot.com'}","{'Name': 'Digital Print BD', 'Email': 'N/A', 'Phone': '01715998877', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://digitalprintbd.com/?utm_source=copilot.com'}","{'Name': 'Print Master BD', 'Email': 'N/A', 'Phone': '01811778899', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': '""https://www.facebook.com/printmasterbd""'}"
"{'Name': 'LegalEdge BD', 'Email': 'N/A', 'Phone': '01333889922', 'Address': 'https://www.facebook.com/legaledgebangladesh', 'Website': 'https://www.facebook.com/legaledgebangladesh'}","{'Name': 'Compliance BD Law Firm', 'Email': 'N/A', 'Phone': '01745990133', 'Address': '13th Floor, Razzak Plaza, Maghbazar, Ramna,, Dhaka, Bangladesh, 1217, Shantinagr TSO, Dhaka, 1217', 'Website': 'https://compliancebd.com/'}","{'Name': 'Advocatus Chambers', 'Email': 'N/A', 'Phone': '01307963321', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://advocatuschambers.com/'}","{'Name': 'LawCare BD', 'Email': 'N/A', 'Phone': '01711225544', 'Address': 'khilkhat dhaka 1229, KhilkhetTSO, Dhaka, 1229', 'Website': 'https://lawcarebd.com/'}","{'Name': 'Justitia BD', 'Email': 'N/A', 'Phone': '01995665544', 'Address': 'newmarket dhaka 1205, New Market TSO, Dhaka, 1205', 'Website': 'https://justitiabd.com/'}","{'Name': 'Equity Law Partners', 'Email': 'N/A', 'Phone': '01789004411', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://equitylawbd.com/'}","{'Name': 'LegalNet Bangladesh', 'Email': 'N/A', 'Phone': '01712159571', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.facebook.com/legalnetbd'}","{'Name': 'Barrister’s Chamber Bangladesh', 'Email': 'N/A', 'Phone': '01613554433', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.facebook.com/barristerschamber'}","{'Name': 'Law Valley', 'Email': 'N/A', 'Phone': '01915964722', 'Address': '45, Suite No. 11A, 11th Floor, Saiham Sky View Tower, 45 Bijoy Nagar Road, Dhaka 1000, Dhaka GPO, Dhaka, 1000', 'Website': 'N/A'}","{'Name': 'Kazi Law Chamber', 'Email': 'N/A', 'Phone': '01748848487', 'Address': '12th Floor, Meherba Plaza, 33 Topkhana Road, Dhaka 1000, Dhaka GPO, Dhaka, 1000', 'Website': 'N/A'}","{'Name': 'Bangladesh Legal Network', 'Email': 'N/A', 'Phone': '01712345694', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://bdlegalnetwork.com/?utm_source=copilot.com'}","{'Name': 'Legal Aid & Consultancy Center', 'Email': 'N/A', 'Phone': '01712345693', 'Address': 'uttara dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://laccbd.org/?utm_source=copilot.com'}"
"{'Name': ""St. Francis Xavier's Girls' School"", 'Email': 'N/A', 'Phone': 'N/A', 'Address': '85 Municipal Rd, Dhaka 1100, Kotwali, Dhaka, 1100', 'Website': 'N/A'}","{'Name': 'William Carey International School', 'Email': 'N/A', 'Phone': '01989283257', 'Address': '70 D, 1 Indira Rd, Dhaka 1207, Adabor, Dhaka, 1207', 'Website': 'N/A'}","{'Name': 'Paramount International School Dhaka', 'Email': 'N/A', 'Phone': '01897259211', 'Address': '379, Ahmed Mansion, 7 Shaheed Tajuddin Ahmed Ave, Dhaka 1217, Chalkbazar, Dhaka, 1217', 'Website': 'https://pisdedu.com/'}","{'Name': 'Mac Master English Medium School', 'Email': 'N/A', 'Phone': '01682820723', 'Address': '45 Road No. 12, Dhaka 1207, Adabor, Dhaka, 1206', 'Website': 'N/A'}","{'Name': 'Little Master International School', 'Email': 'N/A', 'Phone': '01715190994', 'Address': '16, 1-A Rankin St, Dhaka 1203, Wari, Dhaka, 1203', 'Website': 'https://lmischool.net/photo-gallery/'}","{'Name': 'Eminent School of Dhaka', 'Email': 'N/A', 'Phone': '01534833921', 'Address': '3 Wyre Street, Dhaka 1203, Wari, Dhaka, 1203', 'Website': 'https://eminentschool.com/'}","{'Name': 'Juvenile English Medium School', 'Email': 'N/A', 'Phone': '01819285002', 'Address': 'Road No. 8, Dhaka 1216, Mirpur, Dhaka, 1216', 'Website': 'http://juvenile.school/'}","{'Name': 'Mirpur English Version School and College', 'Email': 'N/A', 'Phone': '01678850500', 'Address': 'House # 08, Road # 11/2, Block # B, Section # 10, Mirpur, Dhaka, Mirpur, Dhaka, 1216', 'Website': 'http://www.mirpurenglishversionschoolandcollege.org/'}","{'Name': 'Cherry Blossoms International School & College', 'Email': 'N/A', 'Phone': '01730073860', 'Address': 'Block - A, House - 7 Road No. 4, Dhaka 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'Al-Azhar International Grammar School- AIGS', 'Email': 'N/A', 'Phone': '01792742441', 'Address': 'H, 1 Rd -15, Dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://alazharigs.com/'}","{'Name': 'Navy Anchorage School and College', 'Email': 'N/A', 'Phone': '01769714061', 'Address': 'Khilkhet Naval Area, Namapara Rd, Dhaka 1229, KhilkhetTSO, Dhaka, 1229', 'Website': 'https://nascd.edu.bd/'}","{'Name': 'Sunderland International School Bangladesh', 'Email': 'N/A', 'Phone': '01706643733', 'Address': 'House No: Ka 32/2 Ka, (Post office Road), Khilkhet, Dhaka, KhilkhetTSO, Dhaka, 1229', 'Website': 'N/A'}"
"{'Name': 'MotoricBD', 'Email': 'N/A', 'Phone': '01717345856', 'Address': 'Jhauchar kacha bazar Road,, Dhanmondi, Dhaka, 1209', 'Website': 'N/A'}","{'Name': 'Aram Hybrid Solution', 'Email': 'N/A', 'Phone': '01310371637', 'Address': '417 Evercare Hospital Rd, , Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Naspro Auto Services', 'Email': 'N/A', 'Phone': '01894988489', 'Address': 'Gulshan Centre Point, House 26 Road 90, Parking Level 3,, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://www.nasproauto.com/'}","{'Name': 'Native Car Solution', 'Email': 'N/A', 'Phone': '01703556955', 'Address': 'KA-30/2/A, Jagannathpur,soudi moshjid road, nodda, Baridhara,, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Car Fixers Bd', 'Email': 'N/A', 'Phone': '01717889883', 'Address': 'Plot-308, Road-04, Block -A, Shagufta Housing, Pallabi, Mirpur-12, 6.,, Mirpur, Dhaka, 1216', 'Website': 'https://carfixersbd.com/'}","{'Name': 'Quics Car Service', 'Email': 'N/A', 'Phone': '01768385618', 'Address': '100 Feet Madani Ave, , KhilkhetTSO, Dhaka, 1229', 'Website': 'N/A'}","{'Name': 'bhalogari', 'Email': 'N/A', 'Phone': '09643207777', 'Address': 'Civil house, B- 111 Mosque Rd, Dhaka, Dhaka CantonmentTSO, Dhaka, 1206', 'Website': 'https://bhalogari.com/'}","{'Name': 'Car City Dhaka', 'Email': 'N/A', 'Phone': '01969522223', 'Address': 'https://carcitydhaka.com/', 'Website': 'https://carcitydhaka.com/'}","{'Name': 'eGarage bangladesh', 'Email': 'N/A', 'Phone': '01312202050', 'Address': '345 Bijoy Sarani - Tejgaon Link Rd, Dhaka Politechnic, Dhaka, 1208', 'Website': 'N/A'}","{'Name': 'Auto Scan Center', 'Email': 'N/A', 'Phone': '01670204929', 'Address': '18 No. Road Baridhara J Block, , Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'TVS auto Bangladesh', 'Email': 'N/A', 'Phone': '01919194222', 'Address': '50 বীর উত্তম জিয়াউর রহমান সড়ক, Tejgaon TSO, Dhaka, 1215', 'Website': 'N/A'}","{'Name': 'Hyundai', 'Email': 'N/A', 'Phone': '09613505080', 'Address': '279, Tejgaon I/A, , Dhaka Politechnic, Dhaka, 1208', 'Website': 'https://hyundai-bd.com/'}"
"{'Name': 'Cleaning Express BD', 'Email': 'N/A', 'Phone': '01870724120', 'Address': 'House-32/34, Road-07, Block- C, Niketon, Gulshan-01, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Healthy Tank BD', 'Email': 'N/A', 'Phone': '01847258844', 'Address': 'House # 38, Road # 07, Block # B Banasree, Dhaka, Bangladesh., KhilgaonTSO, Dhaka, 1219', 'Website': 'https://healthytankbd.com/'}","{'Name': 'Dhaka Facility Management Services', 'Email': 'N/A', 'Phone': '01731515392', 'Address': '12/01, Pallabi, Mirpur, Dhaka-1216, Mirpur, Dhaka, 1216', 'Website': 'https://dfms.xyz/'}","{'Name': 'Total cleaning service BD', 'Email': 'N/A', 'Phone': '01719238861', 'Address': 'KA 135/2, KURIL, KAZI BARI MASZID ROAD, ঢাকা 1229, KhilkhetTSO, Dhaka, 1229', 'Website': 'http://www.totalcleaningbd.com/'}","{'Name': 'South Enterprise', 'Email': 'N/A', 'Phone': '01739277668', 'Address': '253/254, Rahim Metal Mosque Market I/A Tejgaon Area, Dhaka-1208, Bangladesh., Dhaka Politechnic, Dhaka, 1208', 'Website': 'https://www.southenterprisebd.com/contact-us'}","{'Name': 'Tank Clean Services', 'Email': 'N/A', 'Phone': '01600357308', 'Address': '255/1, ECB Chattar, Mirpur DOHS Road Dhaka Cantonment- 1206, Dhaka CantonmentTSO, Dhaka, 1206', 'Website': 'https://tankcleanservices.com/'}","{'Name': 'Clean Force Limited', 'Email': 'N/A', 'Phone': '01734723422', 'Address': 'House 13, Road -1/a, Block-B, Dhaka 1207, Mohammadpur, Dhaka, 1207', 'Website': 'N/A'}","{'Name': 'Cleaning Gram', 'Email': 'N/A', 'Phone': '01777053126', 'Address': 'dhaka, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://cleaninggram.com/bd/'}","{'Name': 'MBM-Munshi Bangladesh Limited', 'Email': 'N/A', 'Phone': '01979522500', 'Address': '415 (AP House), Nayanagar, Cocacola Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'http://www.mbmmunshibd.com/'}","{'Name': 'BD Cleaning Service', 'Email': 'N/A', 'Phone': 'N/A', 'Address': 'Nafi Tower, 53 Gulshan Ave, Dhaka 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://cleaningservicesbd.com/home/cleaning-service/'}","{'Name': 'Kcsservicelimited', 'Email': 'N/A', 'Phone': '01711380030', 'Address': 'House 1228, Madani Avenue (100Feet), MainRoad Baridhara, Natun Bazar Vatara Dhaka, 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'https://www.kcs-bd.com/'}","{'Name': 'Best Cleaning Service', 'Email': 'N/A', 'Phone': '01629245575', 'Address': ""17 Miah's Tower 3rd Floor, 100 Feet Road, Madani Avenue, Gulshan, Dhaka-1212, Gulshan Model Town, Dhaka, 1212"", 'Website': 'https://bestcleaningservicebcs.com/'}"
"{'Name': 'Zara Electronics Park', 'Email': 'N/A', 'Phone': '01911112210', 'Address': 'Zara Electronics Park, K-45/1, Kalachadpur school road, Gulshan-1212, Dhaka, Bangladesh, 1212, Gulshan, Dhaka, 1212', 'Website': 'https://web.facebook.com/p/Zara-Electronics-Park-100057405551166/?_rdc=1&_rdr#'}","{'Name': 'Wholesale Home Appliance', 'Email': 'N/A', 'Phone': '01406422123', 'Address': '12/1, Basila Bus Stand, Main Road, Basila City Developers, Muhammadpur, Dhaka, Bangladesh, Mohammadpur, Dhaka, 1207', 'Website': 'https://electrobdshop.com/'}","{'Name': 'Star Electronics Bangladesh', 'Email': 'N/A', 'Phone': '01403001115', 'Address': '67/A, Bangabandhu National Stadium Market, Dhaka - 1000, Mirpur, Dhaka, 1000', 'Website': 'https://www.starelectronicsbd.com/'}","{'Name': 'Transcom Digital', 'Email': 'N/A', 'Phone': '01713061477', 'Address': 'House 22, Road 04, Block F, Banani, Dhaka, Bangladesh, 1213, Banani TSO, Dhaka, 1213', 'Website': 'https://transcomdigital.com/'}","{'Name': 'Tech Shop BD', 'Email': 'N/A', 'Phone': '09678110110', 'Address': 'Techshopbd, 2/1/E, Eden Center, Arambagh, Motijheel, Dhaka, Bangladesh, 1000, Dhaka GPO, Dhaka, 1000', 'Website': 'https://techshopbd.com/'}","{'Name': 'AYAN ELECTRONICS', 'Email': 'N/A', 'Phone': '01766546690', 'Address': 'SHOP: 510, Police Plaza Concord, (Beside Shooting Complex), Gulshan-1, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212', 'Website': 'N/A'}","{'Name': 'Orient Electronics', 'Email': 'N/A', 'Phone': '01672231185', 'Address': 'Shop: 424, Level: 4, Plaza A.R, Dhaka 1205, New Market TSO, Dhaka, 1205', 'Website': 'N/A'}","{'Name': 'Alphanso Amps BD', 'Email': 'N/A', 'Phone': '01812878787', 'Address': 'Shop : 30/31, 4th Floor, Shah Ali Plaza, Mirpur 10 Mirpur, Dhaka, 1216, Mirpur, Dhaka, 1216', 'Website': 'N/A'}","{'Name': 'Chowdhury Electronics', 'Email': 'N/A', 'Phone': '01611646464', 'Address': 'Shop- 40-42, Plot- 89, 1st Floor, Syed Grand Centre, Sector- 7, Uttara C/A, Dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.chowdhuryelectronics.com/'}","{'Name': 'Brothers Electronics', 'Email': 'N/A', 'Phone': '01999982225', 'Address': 'Shop-70, 71, Level-06, Block-D, Bashundhara City Shopping Complex, Dhaka 1215, Tejgaon TSO, Dhaka, 1215', 'Website': 'https://brotherselectronicsbd.com/index.php?route=common/home'}","{'Name': 'Best Electronics', 'Email': 'N/A', 'Phone': '09606111777', 'Address': 'Level 16, City Centre, 90/1 Motijheel, Dhaka, Bangladesh, Uttara Purba, Dhaka, 1230', 'Website': 'https://www.bestelectronics.com.bd/'}","{'Name': 'Prime Electronics', 'Email': 'N/A', 'Phone': '01777854905', 'Address': 'House-1, Road-19 Gareeb-e-Nawaz Ave, Dhaka 1230, Uttara Purba, Dhaka, 1230', 'Website': 'N/A'}"
"{'Name': 'Salma Air Travels', 'Email': 'N/A', 'Phone': '01748882664', 'Address': '1/1, Nest Osmium Tower, Block E Satmasjid Road, , Dhanmondi, Dhaka, 1207', 'Website': 'N/A'}","{'Name': 'Versatile Travels & Tours Ltd', 'Email': 'N/A', 'Phone': '01713194841', 'Address': 'Ground Floor, PCH8+MP6 Khan Mansion, 107, , Motijheel, Dhaka, 1000', 'Website': 'N/A'}","{'Name': 'BestTrip', 'Email': 'N/A', 'Phone': '09677443333', 'Address': 'InterContinental Health Club Building(2nd Floor), Dhaka, Ramna, Dhaka, 1000', 'Website': 'https://www.besttrip.travel/'}","{'Name': 'Global Travel & Tours', 'Email': 'N/A', 'Phone': '01810140650', 'Address': '3rd Floor, 78/E, Purana Paltan Line, Bijoynagar, , Paltan, Dhaka, 1000', 'Website': 'https://globaltravelbd.com/'}","{'Name': 'Galaxy Travel International', 'Email': 'N/A', 'Phone': '01722222431', 'Address': '2ND FLOOR, Taj Cassilina, 25 Gulshan Ave, , Gulshan, Dhaka, 1212', 'Website': 'https://www.galaxybd.com/travel.php'}","{'Name': 'Universal Travel & Tours', 'Email': 'N/A', 'Phone': '01844167590', 'Address': 'Level-07, Green Rowshanara Tower, 55 Satmasjid Road, , Dhanmondi, Dhaka, 1209', 'Website': 'https://utt.com.bd/'}","{'Name': 'FlyTrek', 'Email': 'N/A', 'Phone': '01616124565', 'Address': 'House: 26, Road: 24, Sector: 07, Uttara, (Beside Super Hostel), , Uttara Purba, Dhaka, 1230', 'Website': 'https://flytrek.net/'}","{'Name': 'AAJ Travels', 'Email': 'N/A', 'Phone': '01711907262', 'Address': 'KA-1/1 (1st Floor), Jagannathpur, Bashundhara Rd, , Khilkhet, Dhaka, 1229', 'Website': 'https://aajtravelsbd.com/'}","{'Name': 'Travelley', 'Email': 'N/A', 'Phone': '01704644222', 'Address': 'Cha 90/A, Pragatisharani, BTI Premier Shopping Mall, 21-24/C, Level-3, , Gulshan, Dhaka, 1212', 'Website': 'https://travelley.net/'}","{'Name': 'ARO Tours & Travels', 'Email': 'N/A', 'Phone': '01764411815', 'Address': 'Block-D, Gemcon Shwapnodip (3rd Floor, House-22 Rd No 13A, , Banani, Dhaka, 1213', 'Website': 'N/A'}","{'Name': 'GoBangla Tours and Travels', 'Email': 'N/A', 'Phone': '01841779908', 'Address': 'Block A, (Ground Floor, Lalmatia Rd, , Mohammadpur, Dhaka, 1207', 'Website': 'https://gobanglabnb.com/'}","{'Name': 'Apon Tours', 'Email': 'N/A', 'Phone': '01844178204', 'Address': 'Eastern Arzoo, 197, Shahid Syed Nazrul Islam Sharani, 61, Bijoynagar,, Paltan,, , Paltan, Dhaka, 1000', 'Website': 'N/A'}"
