Name,Category,Email,Phone,Address,District,Website
Automobiles & Servicing Cente,Auto Repair,mdruhulamin91468@gmail.com,01712920915,"house 67, Road No. 13, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Hyundai Motors Bangladesh Limited,Car Showrooms,info@fairtechnology.com.bd,01841010111,"Tejgaon I/A Dhaka, 1208, Dhaka Politechnic, Dhaka, 1208",Dhaka,https://www.facebook.com/Hyundaiworldwide
Cafe Chapter 14,Restaurants & Cafes,cafechapter14@gmail.com,01711945873,"19 a/ b 2nd colony, mazar road, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Star Printing & Packaging,Printing Services,star@printingbd.com,01711223345,"khilkhat dhaka 1229, KhilkhetTSO, Dhaka, 1229",Dhaka,"""https://www.facebook.com/starprintingbd"""
Scholastica,Schools,info@scholasticabd.com,N/A,"House No, 78 Rd No. 8A, Dhaka 1209, Dhanmondi, Dhaka, 1209",Dhaka,N/A
LegalEdge BD,Law Firms,hello@legaledgebd.com,01333889922,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.facebook.com/legaledgebangladesh
MotoricBD,Car Service Centers,motoricbd@gmail.com,01717345856,"Jhauchar kacha bazar Road,, Dhanmondi, Dhaka, 1209",Dhaka,N/A
Cleaning Express BD,Cleaning Services,N/A,01870724120,"House-32/34, Road-07, Block- C, Niketon, Gulshan-01, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Zara Electronics Park,Electronics Shops,zaraepark@gmail.com,01911112210,"Zara Electronics Park, K-45/1, Kalachadpur school road, Gulshan-1212, Dhaka, Bangladesh, 1212, Gulshan, Dhaka, 1212",Dhaka,https://web.facebook.com/p/Zara-Electronics-Park-100057405551166/?_rdc=1&_rdr#
Salma Air Travels,Travel Agencies,admin@salmaair.com,01748882664,"1/1, Nest Osmium Tower, Block E Satmasjid Road, , Dhanmondi, Dhaka, 1207",Dhaka,N/A
Natural Cool Air Conditioning & Engineering,AC Repair & Services,info.naturalcool@gmail.com,01775474876,"Hosue # 39/B Road No. 27 (Old), New 16, Dhanmondi, Dhaka - 1209 Opposite of Meena Bazar, Dhanmondi, Dhaka, 1209",Dhaka,https://www.naturalcoolair.com/
Pest Control Service All Of Bangladesh Co.,Pest Control Services,thankscleaningbd@gmail.com,01822361810,"Mukto Bangla shoping complex, Mirpur-1, Dhaka 50, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://bangladeshpestcontrolbd.com/
JG Healthcare Ltd,Diagnostic Centers,info@jghealthcare.com,01818775522,"MP Check Post, 167/4, 1st Floor Matikata, Near ECB Chattar, Dhaka 1206, Dhaka CantonmentTSO, Dhaka, 1206",Dhaka,https://www.jghealthcare.com/
Pipex Network,Internet Providers,info@pipexbd.com,09606999800,"House# 19 (1st Floor), Road# 19, Nikunja# 2, Dhaka, Bangladesh, 1229, Khilkhet, Dhaka, 1229",Dhaka,https://www.pipexbd.com/
10MS IELTS,Coaching Centers,support@10minuteschool.com,01896016257,"Lift: 8, House: 2, Road: 7, Sector: 3, Uttara, Dhaka (Opposite of Rajlokkhi Complex), Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://10minuteschool.com/english-centre/#our-programmes
Comfort Construction & Engineering,Construction Companies,comfortengineering614@gmail.com,01725681681,"House 1&2, Avenue-02, Block- D section-12 Mirpur-1216, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,https://comfortconstruction.blogspot.com/
Taqwa tailors & fabrics,Tailoring & Boutiques,billal1994hossain@gmail.com,01719033666,"Vatara, Badda Area, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Wildflower Event Management,Event Management,wildflowerevent24@gmail.com,01988867355,"Ka-158 Kuril (AIUB Road) Bishwaroad, Vatara, Dhaka, 1229, Khilkhet, Dhaka, 1229",Dhaka,N/A
